"Timestamp","Type","Title","URL","Description","Contributor Id","Image","Subsection"
"2024/11/23 9:55:18 AM GMT+1","🟠 Website","EPIDE","https://cs.emory.edu/~lzhao41/projects/event_prediction_site/","The EPIDE (Event Prediction in the Big Data Era) website serves as a comprehensive repository for resources related to event prediction, aiming to facilitate research and application in this rapidly evolving field. It offers systematic reviews, tutorials, datasets, and code to address challenges such as heterogeneous outputs, complex dependencies, and streaming data feeds. The platform provides access to a wide array of datasets across various domains, including healthcare (e.g., COVID-19 and influenza outbreaks), media (e.g., multimedia-based next action prediction), transportation (e.g., NYU Yellow Taxi datasets), engineering systems (e.g., global energy forecasting), cyber systems (e.g., cyber attack prediction), political events (e.g., civil unrests), natural events (e.g., geophysics and atmospherics), business (e.g., customer activity prediction), and crimes (e.g., global terrorism database).","","",""
"2024/11/23 9:59:31 AM GMT+1","🔴 Tutorial","NYC Motor Vehicle Collisions","https://www.kaggle.com/code/skhiearth/nyc-motor-vehicle-collisions","This tutorial explores motor vehicle collision data in New York City with the goal of identifying trends and patterns that could inform traffic safety measures and urban planning. It leverages data visualization tools, such as heatmaps and time-series plots, to analyze collision distributions across time and space and to highlight high-risk zones. The dataset used includes detailed records of motor vehicle collisions, providing information on dates, times, locations, contributing factors, and the impact on individuals involved, including injuries and fatalities.","","",""
"2024/11/23 10:00:18 AM GMT+1","🟡 Tool","EasyTPP","https://github.com/ant-research/EasyTemporalPointProcess","EasyTPP is a comprehensive benchmarking tool designed to advance research in temporal point processes (TPPs), which are crucial for modeling continuous-time event sequences across domains like healthcare, finance, and social networks. The motivation behind EasyTPP is to address the lack of a standardized framework, which impedes fair comparison, reproducibility, and progress in TPP research. The tool offers a unified interface for datasets, an array of evaluation methods, implementations of popular neural TPP models, and modular components for building and extending new models, supporting both PyTorch and TensorFlow frameworks. Some of the included datasets are synthetic Hawkes process data, Amazon user reviews, NYC taxi events, Taobao user clicks, Retweet sequences, and StackOverflow badges.","","/assets/images/thumb/EasyTPP.jpg",""
"2024/11/23 10:01:04 AM GMT+1","🔵 Conference or Journal","ACM Sigspatial","https://sigspatial2024.sigspatial.org/","The ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems is an annual event that brings together researchers and practitioners to explore advancements in geospatial data, systems, and applications, fostering collaboration across disciplines.","","",""
"2024/11/23 10:02:17 AM GMT+1","🟣 Paper or Method","In Data We Trust? A Comparison of UCDP GED and ACLED Conflict Events Datasets","https://journals.sagepub.com/doi/10.1177/0010836711434463","This paper examines the strengths and weaknesses of two prominent conflict event datasets, the UCDP Georeferenced Event Dataset (UCDP GED) and the Armed Conflict Location and Event Dataset (ACLED), which have facilitated microlevel analyses of civil war dynamics. It discusses differences in scope, definitions, and data collection processes, highlighting issues like UCDP GED’s focus on fatalities and ACLED’s inclusion of non-fatal and non-violent events. The paper uses georeferenced, disaggregated event data, primarily from Africa, detailing specific cases to evaluate coding quality and methodological challenges in both datasets.","","",""
"2024/11/23 10:02:17 AM GMT+1","Dataset","Disaster Ninja","https://disaster.ninja/","Disaster Ninja is a geospatial tool developed by Kontur Inc. to assist in disaster management by providing information on recent natural disasters, visualizing mapping gaps, and facilitating connections with local contributors for ground truth verification. It integrates various datasets, including population density, OpenStreetMap data, and active contributor information, enabling humanitarian organizations to efficiently prepare and prioritize mapping tasks","","",""
"2024/11/25 10:28:56 AM GMT+1","🟡 Tool","Spatial-Kfold","https://github.com/WalidGharianiEAGLE/spatial-kfold","Spatial-Kfold is a Python library that improves cross-validation in spatial studies by offering spatial clustering and block resampling techniques. It facilitates ""Leave Region Out"" cross-validation, aiding in model generalization to new locations and improving the reliability of feature selection and hyperparameter tuning.","Mouad Elhamdi","",""
"2024/11/25 10:36:45 AM GMT+1","🟠 Website","Large (Language) Models and Foundation Models (LLM, LM, FM) for Time Series and Spatio-Temporal Data","https://github.com/qingsongedu/Awesome-TimeSeries-SpatioTemporal-LM-LLM","This github repository offers a curated list of resources on large language and foundation models for temporal data, including time series, spatio-temporal, and event data, aiming to systematically summarize recent advancements in this field.","Mouad Elhamdi","",""
"2024/11/25 10:44:51 AM GMT+1","🔴 Tutorial","Working With Spatio-Temporal Data in Python","https://annefou.github.io/metos_python/","This tutorial introduces Python for analyzing and visualizing spatial-temporal data. And uses datasets from the environmental sciences that are freely available.","Mouad Elhamdi","",""
"2024/11/25 10:50:59 AM GMT+1","🟢 Dataset","Spatiotemporal Datasets","https://github.com/benedekrozemberczki/spatiotemporal_datasets?tab=readme-ov-file","This repository collects datasets for network science, deep learning, and general machine learning research. It includes data such as weekly chickenpox cases in Hungary and bicycle deliveries in London.","Mouad Elhamdi","",""
